Transaction_ID,Product_ID,Product_Name,Category,Price
T00001,P093,Meat Item 93,Meat,24.28
T00001,P076,Bakery Item 76,Bakery,32.21
T00002,P079,Snacks Item 79,Snacks,1.73
T00002,P145,Meat Item 145,Meat,6.73
T00002,P046,Produce Item 46,Produce,9.64
T00002,P065,Produce Item 65,Produce,14.11
T00002,P024,Bakery Item 24,Bakery,27.39
T00002,P054,Produce Item 54,Produce,8.66
T00002,P045,Produce Item 45,Produce,40.66
T00003,P031,Produce Item 31,Produce,14.86
T00003,P021,Meat Item 21,Meat,17.62
T00003,P030,Beverages Item 30,Beverages,43.95
T00003,P020,Canned Goods Item 20,Canned Goods,38.46
T00004,P067,Meat Item 67,Meat,28.89
T00004,P012,Produce Item 12,Produce,10.74
T00004,P010,Produce Item 10,Produce,24.84
T00004,P078,Bakery Item 78,Bakery,16.31
T00004,P131,Meat Item 131,Meat,37.17
T00005,P145,Meat Item 145,Meat,6.73
T00005,P030,Beverages Item 30,Beverages,43.95
T00005,P031,Produce Item 31,Produce,14.86
T00005,P143,Beverages Item 143,Beverages,24.83
T00006,P112,Dairy Item 112,Dairy,5.56
T00006,P020,Canned Goods Item 20,Canned Goods,38.46
T00006,P140,Snacks Item 140,Snacks,9.44
T00006,P046,Produce Item 46,Produce,9.64
T00006,P021,Meat Item 21,Meat,17.62
T00007,P046,Produce Item 46,Produce,9.64
T00007,P045,Produce Item 45,Produce,40.66
T00008,P084,Snacks Item 84,Snacks,45.23
T00008,P012,Produce Item 12,Produce,10.74
T00008,P072,Dairy Item 72,Dairy,22.66
T00008,P010,Produce Item 10,Produce,24.84
T00008,P088,Frozen Item 88,Frozen,9.18
T00008,P106,Snacks Item 106,Snacks,10.42
T00008,P003,Snacks Item 3,Snacks,41.61
T00009,P071,Frozen Item 71,Frozen,12.88
T00009,P101,Snacks Item 101,Snacks,2.22
T00009,P020,Canned Goods Item 20,Canned Goods,38.46
T00009,P015,Beverages Item 15,Beverages,10.31
T00009,P022,Snacks Item 22,Snacks,28.61
T00010,P050,Snacks Item 50,Snacks,6.7
T00010,P130,Frozen Item 130,Frozen,6.23
T00010,P025,Meat Item 25,Meat,35.36
T00010,P034,Beverages Item 34,Beverages,9.19
T00010,P001,Meat Item 1,Meat,30.32
T00010,P096,Bakery Item 96,Bakery,15.66
T00010,P023,Beverages Item 23,Beverages,33.24
T00010,P142,Canned Goods Item 142,Canned Goods,38.55
T00010,P141,Snacks Item 141,Snacks,17.37
T00010,P021,Meat Item 21,Meat,17.62
T00010,P128,Bakery Item 128,Bakery,23.29
T00010,P138,Snacks Item 138,Snacks,25.27
T00011,P142,Canned Goods Item 142,Canned Goods,38.55
T00011,P001,Meat Item 1,Meat,30.32
T00011,P132,Meat Item 132,Meat,7.94
T00011,P005,Canned Goods Item 5,Canned Goods,25.32
T00012,P046,Produce Item 46,Produce,9.64
T00012,P030,Beverages Item 30,Beverages,43.95
T00012,P031,Produce Item 31,Produce,14.86
T00012,P045,Produce Item 45,Produce,40.66
T00013,P143,Beverages Item 143,Beverages,24.83
T00013,P031,Produce Item 31,Produce,14.86
T00014,P013,Bakery Item 13,Bakery,33.05
T00014,P030,Beverages Item 30,Beverages,43.95
T00014,P031,Produce Item 31,Produce,14.86
T00015,P010,Produce Item 10,Produce,24.84
T00015,P012,Produce Item 12,Produce,10.74
T00016,P139,Frozen Item 139,Frozen,5.64
T00016,P108,Snacks Item 108,Snacks,49.06
T00017,P001,Meat Item 1,Meat,30.32
T00017,P005,Canned Goods Item 5,Canned Goods,25.32
T00018,P109,Produce Item 109,Produce,38.64
T00018,P089,Dairy Item 89,Dairy,34.62
T00019,P069,Canned Goods Item 69,Canned Goods,19.44
T00019,P101,Snacks Item 101,Snacks,2.22
T00019,P102,Frozen Item 102,Frozen,33.64
T00019,P103,Meat Item 103,Meat,47.07
T00019,P041,Beverages Item 41,Beverages,7.3
T00019,P147,Produce Item 147,Produce,13.22
T00019,P026,Produce Item 26,Produce,38.56
T00019,P061,Produce Item 61,Produce,28.98
T00019,P082,Beverages Item 82,Beverages,28.23
T00020,P046,Produce Item 46,Produce,9.64
T00020,P117,Produce Item 117,Produce,30.4
T00021,P035,Snacks Item 35,Snacks,33.4
T00021,P135,Beverages Item 135,Beverages,9.29
T00021,P036,Frozen Item 36,Frozen,24.46
T00021,P122,Frozen Item 122,Frozen,49.79
T00021,P138,Snacks Item 138,Snacks,25.27
T00021,P136,Meat Item 136,Meat,27.21
T00022,P130,Frozen Item 130,Frozen,6.23
T00022,P136,Meat Item 136,Meat,27.21
T00022,P007,Beverages Item 7,Beverages,36.4
T00023,P010,Produce Item 10,Produce,24.84
T00023,P012,Produce Item 12,Produce,10.74
T00024,P146,Bakery Item 146,Bakery,12.45
T00024,P010,Produce Item 10,Produce,24.84
T00024,P012,Produce Item 12,Produce,10.74
T00025,P090,Meat Item 90,Meat,45.72
T00025,P092,Beverages Item 92,Beverages,22.82
T00026,P081,Produce Item 81,Produce,37.88
T00026,P030,Beverages Item 30,Beverages,43.95
T00026,P031,Produce Item 31,Produce,14.86
T00027,P016,Snacks Item 16,Snacks,43.61
T00027,P150,Canned Goods Item 150,Canned Goods,2.13
T00027,P038,Produce Item 38,Produce,37.78
T00027,P124,Canned Goods Item 124,Canned Goods,13.4
T00027,P074,Snacks Item 74,Snacks,14.36
T00028,P043,Meat Item 43,Meat,40.54
T00028,P052,Dairy Item 52,Dairy,12.3
T00028,P148,Meat Item 148,Meat,10.36
T00028,P146,Bakery Item 146,Bakery,12.45
T00028,P022,Snacks Item 22,Snacks,28.61
T00028,P036,Frozen Item 36,Frozen,24.46
T00028,P054,Produce Item 54,Produce,8.66
T00029,P149,Snacks Item 149,Snacks,34.14
T00029,P127,Beverages Item 127,Beverages,19.86
T00029,P134,Bakery Item 134,Bakery,39.32
T00029,P012,Produce Item 12,Produce,10.74
T00029,P010,Produce Item 10,Produce,24.84
T00030,P095,Beverages Item 95,Beverages,49.25
T00030,P076,Bakery Item 76,Bakery,32.21
T00030,P102,Frozen Item 102,Frozen,33.64
T00030,P046,Produce Item 46,Produce,9.64
T00030,P020,Canned Goods Item 20,Canned Goods,38.46
T00030,P142,Canned Goods Item 142,Canned Goods,38.55
T00030,P021,Meat Item 21,Meat,17.62
T00031,P131,Meat Item 131,Meat,37.17
T00031,P040,Canned Goods Item 40,Canned Goods,37.15
T00031,P034,Beverages Item 34,Beverages,9.19
T00031,P045,Produce Item 45,Produce,40.66
T00032,P131,Meat Item 131,Meat,37.17
T00032,P015,Beverages Item 15,Beverages,10.31
T00033,P030,Beverages Item 30,Beverages,43.95
T00033,P031,Produce Item 31,Produce,14.86
T00034,P012,Produce Item 12,Produce,10.74
T00034,P020,Canned Goods Item 20,Canned Goods,38.46
T00034,P046,Produce Item 46,Produce,9.64
T00034,P021,Meat Item 21,Meat,17.62
T00034,P010,Produce Item 10,Produce,24.84
T00034,P045,Produce Item 45,Produce,40.66
T00035,P014,Frozen Item 14,Frozen,5.39
T00035,P001,Meat Item 1,Meat,30.32
T00035,P005,Canned Goods Item 5,Canned Goods,25.32
T00036,P046,Produce Item 46,Produce,9.64
T00036,P045,Produce Item 45,Produce,40.66
T00037,P011,Meat Item 11,Meat,5.09
T00037,P148,Meat Item 148,Meat,10.36
T00037,P102,Frozen Item 102,Frozen,33.64
T00038,P033,Snacks Item 33,Snacks,48.58
T00038,P055,Meat Item 55,Meat,24.36
T00039,P030,Beverages Item 30,Beverages,43.95
T00039,P001,Meat Item 1,Meat,30.32
T00039,P031,Produce Item 31,Produce,14.86
T00039,P005,Canned Goods Item 5,Canned Goods,25.32
T00040,P141,Snacks Item 141,Snacks,17.37
T00040,P119,Frozen Item 119,Frozen,23.54
T00040,P010,Produce Item 10,Produce,24.84
T00040,P012,Produce Item 12,Produce,10.74
T00041,P010,Produce Item 10,Produce,24.84
T00041,P012,Produce Item 12,Produce,10.74
T00042,P115,Meat Item 115,Meat,11.17
T00042,P062,Produce Item 62,Produce,2.66
T00042,P082,Beverages Item 82,Beverages,28.23
T00043,P071,Frozen Item 71,Frozen,12.88
T00043,P066,Snacks Item 66,Snacks,30.16
T00043,P020,Canned Goods Item 20,Canned Goods,38.46
T00044,P070,Bakery Item 70,Bakery,32.14
T00044,P050,Snacks Item 50,Snacks,6.7
T00044,P039,Canned Goods Item 39,Canned Goods,6.7
T00044,P148,Meat Item 148,Meat,10.36
T00044,P150,Canned Goods Item 150,Canned Goods,2.13
T00044,P057,Beverages Item 57,Beverages,46.1
T00044,P008,Produce Item 8,Produce,14.5
T00044,P019,Canned Goods Item 19,Canned Goods,40.91
T00045,P094,Frozen Item 94,Frozen,33.85
T00045,P051,Dairy Item 51,Dairy,1.54
T00046,P046,Produce Item 46,Produce,9.64
T00046,P086,Meat Item 86,Meat,3.02
T00046,P045,Produce Item 45,Produce,40.66
T00047,P009,Dairy Item 9,Dairy,4.21
T00047,P136,Meat Item 136,Meat,27.21
T00047,P020,Canned Goods Item 20,Canned Goods,38.46
T00048,P038,Produce Item 38,Produce,37.78
T00048,P110,Bakery Item 110,Bakery,46.38
T00049,P021,Meat Item 21,Meat,17.62
T00049,P050,Snacks Item 50,Snacks,6.7
T00049,P145,Meat Item 145,Meat,6.73
T00049,P020,Canned Goods Item 20,Canned Goods,38.46
T00050,P001,Meat Item 1,Meat,30.32
T00050,P012,Produce Item 12,Produce,10.74
T00050,P005,Canned Goods Item 5,Canned Goods,25.32
T00050,P010,Produce Item 10,Produce,24.84
T00051,P031,Produce Item 31,Produce,14.86
T00051,P118,Canned Goods Item 118,Canned Goods,49.49
T00051,P139,Frozen Item 139,Frozen,5.64
T00051,P012,Produce Item 12,Produce,10.74
T00051,P009,Dairy Item 9,Dairy,4.21
T00052,P137,Canned Goods Item 137,Canned Goods,16.91
T00052,P033,Snacks Item 33,Snacks,48.58
T00052,P038,Produce Item 38,Produce,37.78
T00053,P146,Bakery Item 146,Bakery,12.45
T00053,P021,Meat Item 21,Meat,17.62
T00053,P020,Canned Goods Item 20,Canned Goods,38.46
T00054,P015,Beverages Item 15,Beverages,10.31
T00054,P046,Produce Item 46,Produce,9.64
T00054,P041,Beverages Item 41,Beverages,7.3
T00054,P085,Snacks Item 85,Snacks,26.29
T00054,P045,Produce Item 45,Produce,40.66
T00055,P027,Frozen Item 27,Frozen,24.79
T00055,P071,Frozen Item 71,Frozen,12.88
T00055,P139,Frozen Item 139,Frozen,5.64
T00055,P107,Beverages Item 107,Beverages,9.14
T00055,P015,Beverages Item 15,Beverages,10.31
T00055,P021,Meat Item 21,Meat,17.62
T00055,P036,Frozen Item 36,Frozen,24.46
T00055,P087,Beverages Item 87,Beverages,11.39
T00055,P024,Bakery Item 24,Bakery,27.39
T00055,P068,Meat Item 68,Meat,48.4
T00056,P095,Beverages Item 95,Beverages,49.25
T00056,P142,Canned Goods Item 142,Canned Goods,38.55
T00056,P010,Produce Item 10,Produce,24.84
T00056,P012,Produce Item 12,Produce,10.74
T00057,P043,Meat Item 43,Meat,40.54
T00057,P087,Beverages Item 87,Beverages,11.39
T00058,P103,Meat Item 103,Meat,47.07
T00058,P022,Snacks Item 22,Snacks,28.61
T00059,P046,Produce Item 46,Produce,9.64
T00059,P010,Produce Item 10,Produce,24.84
T00059,P012,Produce Item 12,Produce,10.74
T00059,P045,Produce Item 45,Produce,40.66
T00060,P037,Meat Item 37,Meat,25.98
T00060,P036,Frozen Item 36,Frozen,24.46
T00061,P031,Produce Item 31,Produce,14.86
T00061,P020,Canned Goods Item 20,Canned Goods,38.46
T00061,P046,Produce Item 46,Produce,9.64
T00061,P021,Meat Item 21,Meat,17.62
T00061,P030,Beverages Item 30,Beverages,43.95
T00061,P045,Produce Item 45,Produce,40.66
T00062,P021,Meat Item 21,Meat,17.62
T00062,P003,Snacks Item 3,Snacks,41.61
T00062,P020,Canned Goods Item 20,Canned Goods,38.46
T00063,P075,Produce Item 75,Produce,29.57
T00063,P001,Meat Item 1,Meat,30.32
T00063,P005,Canned Goods Item 5,Canned Goods,25.32
